"U_ID","Transcription","Repair","Pair","Interlocutor","Task"
"1_Spontaneous","okay",0,"1","1_A","Spontaneous"
"1_Spontaneous","tak",0,"1","1_A","Spontaneous"
"1_Spontaneous","tak",0,"1","1_B","Spontaneous"
"1_Spontaneous","haha",0,"1","1_A","Spontaneous"
"1_Spontaneous","okay hva hva xxx fortæl hinanden om den værste oplevelse I har haft med en i boede sammen med",0,"1","1_B","Spontaneous"
"1_Spontaneous","den værste oplevelse det kan xxx det var nok da jeg boede hjemme så xxx",0,"1","1_B","Spontaneous"
"1_Spontaneous","ja",0,"1","1_A","Spontaneous"
"1_Spontaneous","det var engang jeg var oppe at skændes med min far altså xx det eneste jeg kan komme i tanke om lige nu",0,"1","1_B","Spontaneous"
"1_Spontaneous","mm",0,"1","1_A","Spontaneous"
"1_Spontaneous","hvor at jeg blev så sur på ham at jeg gav ham fingeren og det har jeg aldrig nogensinde gjort før han blev så stiktosset han løb hen jeg nåede at låse jeg nåede at låse min dør",0,"1","1_B","Spontaneous"
"1_Spontaneous","haha",0,"1","1_A","Spontaneous"
"1_Spontaneous","nej",0,"1","1_A","Spontaneous"
"1_Spontaneous","mm",0,"1","1_A","Spontaneous"
"1_Spontaneous","og så lå jeg derinde i to timer for jeg turde ikke komme ud til ham fordi han var så rasende over at jeg kunne finde på at gøre det",0,"1","1_B","Spontaneous"
"1_Spontaneous","mm",0,"1","1_A","Spontaneous"
"1_Spontaneous","og der kan jeg huske jeg var så bange xx jeg lå bare der (illustrerende lyd) kom jeg ud to timer efter undskyld far og så var den god igen",0,"1","1_B","Spontaneous"
"1_Spontaneous","ja ja haha",0,"1","1_A","Spontaneous"
"1_Spontaneous","ja",0,"1","1_A","Spontaneous"
"1_Spontaneous","ja",0,"1","1_A","Spontaneous"
"1_Spontaneous","det nok den værste oplevelse jeg har hvor jeg virkelig var ked af det",0,"1","1_B","Spontaneous"
"1_Spontaneous","ja",0,"1","1_A","Spontaneous"
"1_Spontaneous","som jeg lige komme i tanke om",0,"1","1_B","Spontaneous"
"1_Spontaneous","mm",0,"1","1_A","Spontaneous"
"1_Spontaneous","jeg haft mig en jeg boede sammen med",0,"1","1_A","Spontaneous"
"1_Spontaneous","ja",0,"1","1_B","Spontaneous"
"1_Spontaneous","mm",0,"1","1_A","Spontaneous"
"1_Spontaneous","det er da det har nok også været hjemmme hvor jeg har været haha rigtig rigtig sur",0,"1","1_A","Spontaneous"
"1_Spontaneous","mm",0,"1","1_B","Spontaneous"
"1_Spontaneous","på mine forældre hvis de har",0,"1","1_A","Spontaneous"
